modul,anahtar,yer_tutucular,turkce_kaynak,ar_mevcut,ar_duzeltme,not
devriye,devriyeBugununTurlari,,Bugünün turları,دوريات اليوم,,
devriye,devriyeDurumBekliyor,,Bekliyor,بالانتظار,,
devriye,devriyeDurumBilinmiyor,,Bilinmiyor,غير معروف,,
devriye,devriyeDurumBitti,,Bitti,انتهت,,
devriye,devriyeDurumKacirildi,,Kaçırıldı,فائتة,,
devriye,devriyeDurumSimdiAktif,,Şimdi aktif,نشطة الآن,,
devriye,devriyeDurumSuresiGecti,,Süresi geçti,انقضى الوقت,,
devriye,devriyeDurumTamamlandi,,Tamamlandı,مُنجزة,,
devriye,devriyeDurumYaklasan,,Yaklaşan,قادمة,,
devriye,devriyeGecmisBos,,Henüz tur penceresi kaydı yok.,لا توجد سجلات نوافذ دوريات بعد.,,
devriye,devriyeGecmisYetkiYok,,Tur geçmişi için yetkiniz yok. Bu liste güvenlik ve yönetici rollerine açıktır.,ليست لديك صلاحية لسجل الدوريات. هذه القائمة متاحة لدوري الأمن والمدير.,,
devriye,devriyeGonderimKuyruguTooltip,,Gönderim kuyruğu,قائمة الإرسال,,
devriye,devriyeGunOkutmaYok,,Bu gün için okutma yok.,لا توجد عمليات مسح لهذا اليوم.,,
devriye,devriyeImzali,,imzalı ✓,موقَّع ✓,,
devriye,devriyeKalanSure,,Kalan süre: {sure},الوقت المتبقي: {sure},,
devriye,devriyeKaydedilemedi,,Kaydedilemedi. Tekrar deneyin.,تعذّر الحفظ. حاول مرة أخرى.,,
devriye,devriyeKontrolNoktalari,,Kontrol noktaları,نقاط التفتيش,,
devriye,devriyeNoktaAdiYedek,,Nokta {kisaId},النقطة {kisaId},,
devriye,devriyeNoktaDurumAciklama,,"Nokta durumları sunucudandır; tüm görevlilerin okutmaları ✓ görünür. ""Gönderiliyor"" satırlar bu cihazın henüz gönderilmemiş okutmalarıdır.","حالات النقاط تأتي من الخادم؛ تظهر عمليات مسح جميع العاملين بعلامة ✓. الصفوف ""قيد الإرسال"" هي عمليات مسح من هذا الجهاز لم تُرسل بعد.",,
devriye,devriyeNoktaListesiYok,,Bu planın nokta listesi alınamadı veya plana nokta atanmamış.,تعذّر جلب قائمة نقاط هذه الخطة أو لم تُسند نقاط للخطة.,,
devriye,devriyeNoktaOkutNfc,,Nokta okut (NFC),امسح نقطة (NFC),,
devriye,devriyeNoktaOkutuldu,"okutulan,beklenen",{okutulan}/{beklenen} nokta okutuldu,تم مسح {okutulan}/{beklenen} نقطة,,
devriye,devriyeNoktaSayaci,"okutulan,beklenen",{okutulan}/{beklenen} nokta,{okutulan}/{beklenen} نقطة,,
devriye,devriyeOkutmaBekliyor,n,{n} okutma gönderim bekliyor,"{n, plural, zero{لا توجد عمليات مسح بانتظار الإرسال} one{عملية مسح واحدة بانتظار الإرسال} two{عمليتا مسح بانتظار الإرسال} few{{n} عمليات مسح بانتظار الإرسال} many{{n} عملية مسح بانتظار الإرسال} other{{n} عملية مسح بانتظار الإرسال}}",,
devriye,devriyeOkutuldu,,Okutuldu ✓,تم المسح ✓,,
devriye,devriyeOkutulduGonderiliyor,,Okutuldu ✓ — gönderiliyor (kuyrukta),تم المسح ✓ — قيد الإرسال (في القائمة),,
devriye,devriyeOkutulduZamanli,,Okutuldu ✓ · {saat},تم المسح ✓ · {saat},,
devriye,devriyeOzetToplam,,Toplam,الإجمالي,,
devriye,devriyePasif,,Pasif,غير نشط,,
devriye,devriyePencere,"baslangic,bitis",Pencere: {baslangic} – {bitis},النافذة: {baslangic} – {bitis},,
devriye,devriyePencereSuresiDoldu,,Pencere süresi doldu.,انقضت مدة النافذة.,,
devriye,devriyePlanAdi,,Plan adı,اسم الخطة,,
devriye,devriyePlanAdiIpucu,,örn. Gece devriyesi,مثال: دورية ليلية,,
devriye,devriyePlanAralik,"baslangic,bitis,dakika",{baslangic}–{bitis} · her {dakika} dk,{baslangic}–{bitis} · كل {dakika} د,,
devriye,devriyePlanDuzenleBaslik,,Devriye planı düzenle,تعديل خطة الدورية,,
devriye,devriyePlanEkle,,Plan ekle,إضافة خطة,,
devriye,devriyePlanSilOnay,,"""{ad}"" devriye planı silinecek.","سيتم حذف خطة الدورية ""{ad}"".",,
devriye,devriyePlanSilindi,,Plan silindi ✓,تم حذف الخطة ✓,,
devriye,devriyePlanSilinsinMi,,Plan silinsin mi?,هل تُحذف الخطة؟,,
devriye,devriyePlanYeniBaslik,,Yeni devriye planı,خطة دورية جديدة,,
devriye,devriyePlanYokBos,,"Henüz devriye planı yok.
Sağ alttan ekleyin (saatler + noktalar).","لا توجد خطط دوريات بعد.
أضف واحدة من أسفل اليمين (الساعات + النقاط).",,
devriye,devriyePlanlarListelenemedi,,Planlar listelenemedi.,تعذّر عرض الخطط.,,
devriye,devriyePlanlariBaslik,,Devriye Planları,خطط الدوريات,,
devriye,devriyeSonGuncelleme,,Son güncelleme: {saat} (otomatik yenileme: 60 sn),آخر تحديث: {saat} (تحديث تلقائي: ٦٠ ثانية),,
devriye,devriyeSunucudaOkutma,n,Sunucuda {n} okutma kayıtlı (diğer cihazların okutmaları dahil olabilir).,"{n, plural, zero{لا توجد عمليات مسح مسجّلة على الخادم.} one{عملية مسح واحدة مسجّلة على الخادم (قد تتضمن مسح أجهزة أخرى).} two{عمليتا مسح مسجّلتان على الخادم (قد تتضمن مسح أجهزة أخرى).} few{{n} عمليات مسح مسجّلة على الخادم (قد تتضمن مسح أجهزة أخرى).} many{{n} عملية مسح مسجّلة على الخادم (قد تتضمن مسح أجهزة أخرى).} other{{n} عملية مسح مسجّلة على الخادم (قد تتضمن مسح أجهزة أخرى).}}",,
devriye,devriyeTakibiBaslik,,Devriye takibi,متابعة الدوريات,,
devriye,devriyeTakibiYetkiYok,,Devriye takibi için yetkiniz yok. Bu ekran yönetici ve güvenlik rollerine açıktır.,ليست لديك صلاحية لمتابعة الدوريات. هذه الشاشة متاحة لدوري المدير والأمن.,,
devriye,devriyeTaramaGunluguAlinamadi,,Tarama günlüğü alınamadı.,تعذّر جلب سجل المسح.,,
devriye,devriyeTumNoktalarOkutuldu,,Tüm noktalar okutuldu — tur tamamlanıyor. ✓,تم مسح جميع النقاط — الدورية تُستكمل. ✓,,
devriye,devriyeTumunuKaldir,,Tümünü kaldır,إزالة الكل,,
devriye,devriyeTumunuSec,,Tümünü seç,تحديد الكل,,
devriye,devriyeTurSikligi,,Tur sıklığı (dakika),تكرار الدورية (دقائق),,
devriye,devriyeTurSikligiPozitif,,Tur sıklığı (dk) pozitif olmalı.,يجب أن يكون تكرار الدورية (د) موجباً.,,
devriye,devriyeTurSikligiYardim,,örn. 60 = saatte bir tur,مثال: ٦٠ = دورية كل ساعة,,
devriye,devriyeTuru,,Devriye turu,دورية,,
devriye,devriyeUidEtiket,,UID: {uid},المعرّف: {uid},,
devriye,devriyeYetkiYok,,Bu ekrandaki veriler için yetkiniz yok. Tur takibi güvenlik (ve yönetici) rolüne açıktır.,ليست لديك صلاحية للبيانات في هذه الشاشة. متابعة الدورية متاحة لدور الأمن (والمدير).,,
dil,dilSecBaslik,,Uygulama dili,لغة التطبيق,,
dis,disAd,,Ad,الاسم,,
dis,disAdGerekli,,Ad gerekli,الاسم مطلوب,,
dis,disAra,,Ara,اتصال,,
dis,disBolumNotu,,Bölüm notu,ملاحظة القسم,,
dis,disKayitYok,,Henüz dış hizmet kaydı yok.,لا توجد سجلات خدمات خارجية بعد.,,
dis,disKayitYokYonetim,,Henüz kayıt yok. Sağ alttan güvendiğiniz esnafı ekleyin.,لا توجد سجلات بعد. أضف من أسفل اليمين حرفياً تثق به.,,
dis,disKisiDuzenle,,Kişi düzenle,تعديل جهة الاتصال,,
dis,disKisiEkle,,Kişi ekle,إضافة جهة اتصال,,
dis,disListeAlinamadi,,Liste alınamadı.,تعذّر تحميل القائمة.,,
dis,disNotEkleyin,,Not ekleyin (yalnızca yönetici düzenler).,أضف ملاحظة (الإدارة فقط يمكنها التعديل).,,
dis,disNotGuncellendi,,Not güncellendi ✓,تم تحديث الملاحظة ✓,,
dis,disNotIpucu,,örn. Yıllardır güvendiğimiz esnaflar; site güvenliği için yabancı kişileri içeri almayın.,مثال: حرفيون نثق بهم منذ سنوات؛ لأمن المجمّع لا تُدخل الغرباء.,,
dis,disNotuDuzenle,,Notu düzenle,تعديل الملاحظة,,
dis,disSilGovde,,"""{ad}"" silinecek.","سيتم حذف ""{ad}"".",,
dis,disSilOnay,,Kayıt silinsin mi?,حذف هذا السجل؟,,
dis,disSilindi,,Silindi ✓,تم الحذف ✓,,
dis,disSoyad,,Soyad,اسم العائلة,,
dis,disSoyadGerekli,,Soyad gerekli,اسم العائلة مطلوب,,
dis,disTur,,Hizmet türü,نوع الخدمة,,
dis,disTurIpucu,,"örn. Çilingir, Elektrik, Tesisat",مثال: أقفال، كهرباء، سباكة,,
dis,disTurZorunlu,,Tür zorunludur,النوع إلزامي,,
dis,disYeniKisi,,Yeni dış hizmet kişisi,جهة اتصال خارجية جديدة,,
duyuru,duyuruBaslikZorunlu,,Başlık zorunludur,العنوان إلزامي,,
duyuru,duyuruDuzenleBaslik,,Duyuru düzenle,تعديل الإعلان,,
duyuru,duyuruDuzenlendiEki,, · düzenlendi, · مُعدَّل,,
duyuru,duyuruGuncellendi,,Duyuru güncellendi ✓,تم تحديث الإعلان ✓,,
duyuru,duyuruMeta,"ad,zaman,duzenlendi",{ad} · {zaman}{duzenlendi},{ad} · {zaman}{duzenlendi},,
duyuru,duyuruMetniAlan,,Duyuru metni,نص الإعلان,,
duyuru,duyuruMetniZorunlu,,Duyuru metni zorunludur,نص الإعلان إلزامي,,
duyuru,duyuruSilOnay,,Duyuru silinsin mi?,حذف هذا الإعلان؟,,
duyuru,duyuruSilindi,,Duyuru silindi ✓,تم حذف الإعلان ✓,,
duyuru,duyuruYayinla,,Yayınla,نشر,,
duyuru,duyuruYayinlandi,,Duyuru yayınlandı ✓,تم نشر الإعلان ✓,,
duyuru,duyuruYeni,,Yeni duyuru,إعلان جديد,,
duyuru,duyuruYok,,Henüz duyuru yok.,لا توجد إعلانات بعد.,,
duyuru,duyuruYonetim,,Yönetim,الإدارة,,
enteg,entegAktifKisa,,aktif,نشط,,
enteg,entegBasarisiz,,Başarısız,فشل,,
enteg,entegDuzenleBaslik,,Entegrasyon düzenle,تعديل التكامل,,
enteg,entegHttpMetodu,,HTTP metodu,طريقة HTTP,,
enteg,entegKanalTipi,,Kanal tipi,نوع القناة,,
enteg,entegKimlikDogrulama,,Kimlik doğrulama,المصادقة,,
enteg,entegKimlikSatir,"tip,kilit",Kimlik: {tip}{kilit},المصادقة: {tip}{kilit},,
enteg,entegPasifKisa,,pasif,غير نشط,,
enteg,entegPayload,,Payload şablonu,قالب الحمولة,,
enteg,entegPayloadHelper,,{sablonlar} yer tutucuları,عناصر بديلة {sablonlar},,
enteg,entegPreset,,Hazır şablon (preset),قالب جاهز (preset),,
enteg,entegSilGovde,,"""{ad}"" entegrasyonu silinecek.","سيتم حذف التكامل ""{ad}"".",,
enteg,entegSilOnay,,Silinsin mi?,حذفه؟,,
enteg,entegSilinemedi,,Silinemedi: {hata},تعذّر الحذف: {hata},,
enteg,entegSir,,Sır (bearer token / API key),السر (bearer token / API key),,
enteg,entegSirKayitli,,Kayıtlı — değiştirmek için yeni değer girin,مُخزَّن — أدخل قيمة جديدة لتغييره,,
enteg,entegSirYazmaOzel,,Yazma-özel; sunucudan asla dönmez,للكتابة فقط؛ لا يعيده الخادم أبداً,,
enteg,entegTest,,Test,اختبار,,
enteg,entegTestBasarili,,✓ Başarılı ({durum}),✓ نجح ({durum}),,
enteg,entegTestBasarisiz,"hata,durum",✗ {hata}{durum},✗ {hata}{durum},,
enteg,entegTestMesaji,,Test mesajı,رسالة اختبار,,
enteg,entegUrl,,Endpoint URL (http/https),عنوان Endpoint (http/https),,
enteg,entegUrlHata,,http(s) ile başlamalı,يجب أن يبدأ بـ http(s),,
enteg,entegUrlHelper,,İç/özel adresler tetikte engellenir,تُحجب العناوين الداخلية/الخاصة عند التشغيل,,
enteg,entegYeni,,Yeni,جديد,,
enteg,entegYeniBaslik,,Yeni entegrasyon,تكامل جديد,,
enteg,entegYokMesaj,,"Entegrasyon yok. ""Yeni"" ile bir dış sistem (megafon/akıllı ev/webhook) ekleyin.","لا توجد تكاملات. أضف نظاماً خارجياً (مكبر صوت/منزل ذكي/webhook) عبر ""جديد"".",,
etiket,etiketAylikOzet,,Aylık Özet,ملخص شهري,,
etiket,etiketDevriye,,Devriye,دورية,,
etiket,etiketIletisim,,İletişim,التواصل,,
etiket,etiketKurallar,,Kurallar,القواعد,,
etk,etkAciklamaAlan,,Açıklama *,الوصف *,,
etk,etkAciklamaGerekli,,Açıklama gerekli,الوصف مطلوب,,
etk,etkBaslikAlan,,Başlık * (örn. Maç izleme akşamı),العنوان * (مثال: أمسية مشاهدة مباراة),,
etk,etkBaslikGerekli,,Başlık gerekli,العنوان مطلوب,,
etk,etkBeyanGonderilemedi,,Beyan gönderilemedi. Tekrar deneyin.,تعذّر إرسال المشاركة. حاول مرة أخرى.,,
etk,etkBeyanKaydedildi,,Beyanınız kaydedildi: {durum} ✓,تم حفظ مشاركتك: {durum} ✓,,
etk,etkBitis,,Bitiş: {zaman},النهاية: {zaman},,
etk,etkBitisEkle,,Bitiş ekle (opsiyonel),إضافة وقت انتهاء (اختياري),,
etk,etkBitisSonra,,"Bitiş, başlangıçtan sonra olmalı",يجب أن تكون النهاية بعد البداية,,
etk,etkBitisiKaldir,,Bitişi kaldır,إزالة وقت الانتهاء,,
etk,etkDuyurVeBildir,,Duyur ve sakinlere bildir,أعلن وأبلغ السكان,,
etk,etkDuyuran,,Duyuran: {ad},المُعلن: {ad},,
etk,etkDuyuruldu,,Etkinlik duyuruldu — sakinlere bildirildi ✓,تم الإعلان عن الحدث — أُبلغ السكان ✓,,
etk,etkDuzenleBaslik,,Etkinliği düzenle,تعديل الحدث,,
etk,etkGecmisYok,,Geçmiş etkinlik yok.,لا توجد أحداث سابقة.,,
etk,etkGorselAlan,,Görsel (opsiyonel),صورة (اختياري),,
etk,etkGuncellendi,,Etkinlik güncellendi ✓,تم تحديث الحدث ✓,,
etk,etkKatiliminiz,,Katılımınız: {durum},مشاركتك: {durum},,
etk,etkKatiliyorSayisi,n,{n} katılıyor,"{n, plural, zero{لا أحد سيحضر} one{شخص واحد سيحضر} two{شخصان سيحضران} few{{n} سيحضرون} many{{n} سيحضرون} other{{n} سيحضرون}}",,
etk,etkKatiliyorum,,Katılıyorum,سأحضر,,
etk,etkKatilmiyorSayisi,n,{n} katılmıyor,"{n, plural, zero{لا أحد لن يحضر} one{شخص واحد لن يحضر} two{شخصان لن يحضرا} few{{n} لن يحضروا} many{{n} لن يحضروا} other{{n} لن يحضروا}}",,
etk,etkKatilmiyorum,,Katılmıyorum,لن أحضر,,
etk,etkKaydedilemedi,,Kaydedilemedi. Tekrar deneyin.,تعذّر الحفظ. حاول مرة أخرى.,,
etk,etkSekmeGecmis,,Geçmiş ({n}),السابقة ({n}),,
etk,etkSekmeYaklasan,,Yaklaşan ({n}),قادمة ({n}),,
etk,etkSilOnay,,"""{baslik}"" ve tüm katılım beyanları silinecek.","سيتم حذف ""{baslik}"" وجميع المشاركات.",,
etk,etkSilindi,,Etkinlik silindi ✓,تم حذف الحدث ✓,,
etk,etkSilinsinMi,,Etkinlik silinsin mi?,هل يُحذف الحدث؟,,
etk,etkYaklasanYok,,Yaklaşan etkinlik yok.,لا توجد أحداث قادمة.,,
etk,etkYaklasanYokYonetim,,"Yaklaşan etkinlik yok. ""Yeni etkinlik"" ile duyurun.","لا توجد أحداث قادمة. أعلن عن حدث عبر ""حدث جديد"".",,
etk,etkYeni,,Yeni etkinlik,حدث جديد,,
etk,etkYer,,Yer: {konum},المكان: {konum},,
etk,etkYerAlan,,Yer (opsiyonel),المكان (اختياري),,
etk,etkZaman,,Zaman: {aralik},الوقت: {aralik},,
etk,etkZamanSecim,,Zaman: {zaman},الوقت: {zaman},,
fab,fabDestekTalebi,,Destek Talebi,طلب دعم,,
fab,fabDuyuruYayinla,,Duyuru Yayınla,نشر إعلان,,
fab,fabGorevOlustur,,Görev Oluştur,إنشاء مهمة,,
fab,fabOlayBildir,,Olay Bildir,الإبلاغ عن حادث,,
fab,fabRezervasyonYap,,Rezervasyon Yap,إجراء حجز,,
fab,fabTalepArizaBildir,,Talep / Arıza Bildir,الإبلاغ عن طلب أو خلل,,
fab,fabTalepBildir,,Talep / Bildir,طلب / إبلاغ,,
giris,girisBeniHatirla,,Beni hatırla,تذكّرني,,
giris,girisIlkKodIpucu,,İlk girişte yönetimden aldığınız geçici kodu yazın.,في أول تسجيل دخول، أدخل الرمز المؤقت الذي حصلت عليه من الإدارة.,,
giris,girisOturumSonaErdi,,Oturumunuz sona erdi. Lütfen tekrar giriş yapın.,انتهت صلاحية جلستك. الرجاء تسجيل الدخول مرة أخرى.,,
giris,girisParolaVeyaKod,,Parola veya geçici kod,كلمة المرور أو الرمز المؤقت,,
giris,girisYap,,Giriş yap,تسجيل الدخول,,
gorev,gorevAciklamaOpsiyonel,,Açıklama (opsiyonel),الوصف (اختياري),,
gorev,gorevAdi,,Görev adı,اسم المهمة,,
gorev,gorevAdiZorunlu,,Görev adı zorunludur,اسم المهمة مطلوب,,
gorev,gorevAdim1Etiket,,1. Etiketi okutun,١. امسح الوسم,,
gorev,gorevAdim2Foto,,2. Foto kanıtı,٢. إثبات بالصورة,,
gorev,gorevAdim2FotoOpsiyonel,,2. Foto kanıtı (isteğe bağlı),٢. إثبات بالصورة (اختياري),,
gorev,gorevAdim3Not,,3. Not (isteğe bağlı),٣. ملاحظة (اختياري),,
gorev,gorevAtananListedeDegil,,Atanan kullanıcı (listede değil),المستخدم المُسند إليه (غير مدرج),,
gorev,gorevAtananPersonel,,Atanan personel,العامل المُسند,,
gorev,gorevAtanmamisHavuz,,— atanmamış (havuz görevi) —,— غير مُسندة (مهمة مشتركة) —,,
gorev,gorevBagliTalep,,Bağlı talep,الطلب المرتبط,,
gorev,gorevBuFiltredeYok,,Bu filtreyle aktif görev yok.,لا توجد مهام نشطة بهذا التصفية.,,
gorev,gorevCipBanaAtanan,,Bana atanan,المُسندة إليّ,,
gorev,gorevCipTumGorevler,,Tüm görevler,كل المهام,,
gorev,gorevCipTumu,,Tümü,الكل,,
gorev,gorevDaireEtiket,,Daire {daire},الوحدة {daire},,
gorev,gorevDuzenleBaslik,,Görev düzenle,تعديل المهمة,,
gorev,gorevEtiketBekleniyor,,Etiket bekleniyor...,في انتظار الوسم...,,
gorev,gorevEtiketOkunamadi,,Etiket okunamadı.,تعذّر قراءة الوسم.,,
gorev,gorevEtiketiOkut,,Etiketi okut,امسح الوسم,,
gorev,gorevFotoAlinamadi,,Fotoğraf alınamadı: {hata},تعذّر الحصول على الصورة: {hata},,
gorev,gorevFotoHenuzYuklenmedi,,"Fotoğraf henüz yüklenmedi. Yüklemenin bitmesini bekleyin, ""Tekrar yükle""yi deneyin veya fotoyu kaldırın.","لم تُحمَّل الصورة بعد. انتظر انتهاء التحميل، أو جرّب ""أعد التحميل""، أو أزل الصورة.",,
gorev,gorevFotoKanitiVar,,foto kanıtı var,يوجد إثبات بالصورة,,
gorev,gorevFotoKanitiZorunlu,,Foto kanıtı zorunlu,إثبات بالصورة إلزامي,,
gorev,gorevFotoKanitiZorunluAlt,,Tamamlama foto olmadan kabul edilmez,لا يُقبل الإنجاز بدون صورة,,
gorev,gorevFotoOnlineGerekli,,"Fotoğraf yüklemek için internet bağlantısı gerekli (yükleme adresi kısa ömürlü). Bağlantı gelince ""Tekrar yükle"" ile deneyin.","يلزم اتصال بالإنترنت لتحميل الصورة (عنوان التحميل قصير الأجل). عند عودة الاتصال، استخدم ""أعد التحميل"".",,
gorev,gorevFotoOnlineGerekliKisa,,Fotoğraf yüklemek için internet bağlantısı gerekli.,يلزم اتصال بالإنترنت لتحميل الصورة.,,
gorev,gorevFotoZorunlu,,Foto zorunlu,الصورة إلزامية,,
gorev,gorevFotoZorunluUyari,,Bu görev için FOTO KANITI ZORUNLU. Tamamlamadan önce fotoğraf çekip yükleyin.,الإثبات بالصورة إلزامي لهذه المهمة. صوّر وحمّل الصورة قبل الإنجاز.,,
gorev,gorevGaleridenSec,,Galeriden seç,اختر من المعرض,,
gorev,gorevGonderiliyor,,Gönderiliyor...,جارٍ الإرسال...,,
gorev,gorevGuncellendi,,Görev güncellendi ✓,تم تحديث المهمة ✓,,
gorev,gorevIslemleriTooltip,,Görev işlemleri,إجراءات المهمة,,
gorev,gorevKaldir,,Kaldır,إزالة,,
gorev,gorevKamera,,Kamera,الكاميرا,,
gorev,gorevKategoriAdi,,Kategori adı,اسم الفئة,,
gorev,gorevKategoriAdiIpucu,,örn. Havuz bakımı,مثال: صيانة المسبح,,
gorev,gorevKategoriDiger,,Diğer,أخرى,,
gorev,gorevKategoriEklendi,,"""{ad}"" eklendi","تمت إضافة ""{ad}""",,
gorev,gorevKategoriEklenemedi,,Eklenemedi: {hata},تعذّرت الإضافة: {hata},,
gorev,gorevKategoriListeAlinamadi,,Liste alınamadı: {hata},تعذّر جلب القائمة: {hata},,
gorev,gorevKategoriSilOnay,,"""{ad}"" pasifleştirilir; mevcut görevlerin geçmişi korunur, yeni görevlerde seçilemez.","سيتم تعطيل ""{ad}""؛ يُحفظ سجل المهام الحالية، ولا يمكن اختيارها للمهام الجديدة.",,
gorev,gorevKategoriSilindi,,"""{ad}"" silindi","تم حذف ""{ad}""",,
gorev,gorevKategoriSilinemedi,,Silinemedi: {hata},تعذّر الحذف: {hata},,
gorev,gorevKategoriSilinmis,,Kategori (silinmiş),الفئة (محذوفة),,
gorev,gorevKategoriSilinsinMi,,Kategori silinsin mi?,هل تُحذف الفئة؟,,
gorev,gorevKategoriYeni,,Yeni kategori,فئة جديدة,,
gorev,gorevKategoriYokBos,,"Henüz kategori yok. Görev oluştururken seçilebilmesi için ""Yeni kategori"" ile ekleyin.","لا توجد فئات بعد. أضف واحدة عبر ""فئة جديدة"" حتى يمكن اختيارها عند إنشاء مهمة.",,
gorev,gorevKategorilerTooltip,,Kategoriler,الفئات,,
gorev,gorevKategorileriBaslik,,Görev kategorileri,فئات المهام,,
gorev,gorevKontrolNoktasiOpsiyonel,,Kontrol noktası (NFC) — opsiyonel,نقطة تفتيش (NFC) — اختياري,,
gorev,gorevKontrolNoktasiYardim,,Bağlanırsa görev NFC okutularak tamamlanır,إذا تم الربط، تُنجَز المهمة بمسح NFC,,
gorev,gorevListesiYetkiYok,,Görev listesi için yetkiniz yok. Bu ekran temizlik ve güvenlik rollerine açıktır.,ليست لديك صلاحية لعرض قائمة المهام. هذه الشاشة متاحة لدوري النظافة والأمن.,,
gorev,gorevNfcAciklama,,Bu görev NFC doğrulamalı: tamamlamadan önce görev noktasındaki etiketi okutun.,هذه المهمة موثّقة بـ NFC: امسح الوسم عند نقطة المهمة قبل الإنجاز.,,
gorev,gorevNfcDogrulandi,,NFC doğrulandı,تم التحقق بـ NFC,,
gorev,gorevNfcYok,,— NFC yok —,— بدون NFC —,,
gorev,gorevNotIpucu,,Örn. çöp konteynerleri boşaltıldı,مثال: تم تفريغ حاويات النفايات,,
gorev,gorevOkundu,,Okundu: {uid},تم المسح: {uid},,
gorev,gorevOlusturuldu,,Görev oluşturuldu ✓,تم إنشاء المهمة ✓,,
gorev,gorevOncelik,,Öncelik,الأولوية,,
gorev,gorevOncelikDusuk,,Düşük,منخفضة,,
gorev,gorevOncelikOrta,,Orta,متوسطة,,
gorev,gorevOncelikYuksek,,Yüksek,عالية,,
gorev,gorevPasifAciklama,,Pasif görev listede görünmez,المهمة غير النشطة لا تظهر في القائمة,,
gorev,gorevPeriyotDakika,,Periyot dakika (opsiyonel),الدورية بالدقائق (اختياري),,
gorev,gorevPeriyotYardim,,Periyodik görevler için; boş = tek seferlik,للمهام الدورية؛ فارغ = مرة واحدة,,
gorev,gorevPersonelAlinamadi,,Personel listesi alınamadı: {hata},تعذّر جلب قائمة العاملين: {hata},,
gorev,gorevPersonelYukleniyor,,Personel listesi yükleniyor...,جارٍ تحميل قائمة العاملين...,,
gorev,gorevPlanlanan,,Planlanan: {zaman},المُقرَّر: {zaman},,
gorev,gorevPozitifSayi,,Pozitif tam sayı girin,أدخل عدداً صحيحاً موجباً,,
gorev,gorevSanaAtanmis,,Sana atanmış,مُسندة إليك,,
gorev,gorevSilindi,,Görev silindi ✓,تم حذف المهمة ✓,,
gorev,gorevSilinsinMi,,Görev silinsin mi?,هل تُحذف المهمة؟,,
gorev,gorevTakipGorunumu,,Takip görünümü,عرض المتابعة,,
gorev,gorevTakipGorunumuAlt,,Tamamlama saha personeli tarafından yapılır (güvenlik / tesis görevlisi). Bu ekran izleme içindir.,يتم الإنجاز بواسطة العاملين الميدانيين (الأمن / مسؤول المنشأة). هذه الشاشة للمتابعة فقط.,,
gorev,gorevTaleptenGeldi,,Talepten geldi,من طلب,,
gorev,gorevTamamla,,Tamamla,إنجاز,,
gorev,gorevTamamlamaOfflineUyari,,"Tamamlama gönderilemedi — internet bağlantısı gerekli. Bağlantı gelince tekrar ""Tamamla""ya basın; aynı kayıt çift oluşmaz (Idempotency-Key sabit). Fotoğraflı tamamlama offline desteklenmez (bilinen kısıt).","تعذّر إرسال الإنجاز — يلزم اتصال بالإنترنت. عند عودة الاتصال اضغط ""إنجاز"" مرة أخرى؛ لن يتكرر السجل نفسه (مفتاح Idempotency ثابت). الإنجاز مع صورة غير مدعوم دون اتصال (قيد معروف).",,
gorev,gorevTamamlandiBuOturumda,,Tamamlandı ✓ (bu oturumda),تم الإنجاز ✓ (في هذه الجلسة),,
gorev,gorevTamamlandiKayit,,Görev tamamlandı — kayıt oluşturuldu.,تم إنجاز المهمة — أُنشئ السجل.,,
gorev,gorevTamamlandiZatenKayitli,,Tamamlandı ✓ (zaten kayıtlıydı),تم الإنجاز ✓ (كان مسجّلاً بالفعل),,
gorev,gorevTekrarYukle,,Tekrar yükle,أعد التحميل,,
gorev,gorevTipi,,Görev tipi,نوع المهمة,,
gorev,gorevTipiYokUyari,,"Henüz görev tipi tanımlamadınız. Üstteki ""Kategoriler"" ekranından kendi tiplerinizi ekleyebilirsiniz; şimdilik ""Diğer"" kullanılır.","لم تُعرّف أي نوع مهمة بعد. يمكنك إضافة أنواعك من شاشة ""الفئات"" أعلاه؛ يُستخدم ""أخرى"" في الوقت الحالي.",,
gorev,gorevTipleriYukleniyor,,Görev tipleri yükleniyor...,جارٍ تحميل أنواع المهام...,,
gorev,gorevYeni,,Yeni görev,مهمة جديدة,,
gorev,gorevYeniTamamlamaBaslat,,Yeni tamamlama başlat,بدء إنجاز جديد,,
gorev,gorevYenidenCek,,Yeniden çek,أعد التصوير,,
gorev,gorevYenidenOkut,,Yeniden okut,امسح مرة أخرى,,
gorev,gorevYuklendi,,Yüklendi ✓,تم التحميل ✓,,
gorev,gorevYukleniyorNokta,,Yükleniyor...,جارٍ التحميل...,,
gorev,gorevZaman,,Zaman: {zaman},الوقت: {zaman},,
gorev,gorevZatenKayitliydi,,Bu tamamlama zaten kayıtlıydı (tekrar gönderim — çift kayıt oluşmadı).,هذا الإنجاز كان مسجّلاً بالفعل (إعادة إرسال — لم يُنشأ سجل مكرّر).,,
gun,gunTipiHaftaIci,,Hafta içi,أيام الأسبوع,,
gun,gunTipiHaftaSonu,,Hafta sonu,عطلة نهاية الأسبوع,,
gun,gunTipiHerGun,,Her gün,كل يوم,,
gun,gunTipiResmiTatil,,Resmî tatil,العطل الرسمية,,
