modul,anahtar,yer_tutucular,turkce_kaynak,ru_mevcut,ru_duzeltme,not
devriye,devriyeNoktaOkutuldu,"okutulan,beklenen",{okutulan}/{beklenen} nokta okutuldu,Отсканировано точек: {okutulan}/{beklenen},,
devriye,devriyeNoktaSayaci,"okutulan,beklenen",{okutulan}/{beklenen} nokta,{okutulan}/{beklenen} точек,,
devriye,devriyeOkutmaBekliyor,n,{n} okutma gönderim bekliyor,"{n, plural, one{{n} сканирование ожидает отправки} few{{n} сканирования ожидают отправки} many{{n} сканирований ожидают отправки} other{{n} сканирований ожидают отправки}}",,
devriye,devriyeOkutuldu,,Okutuldu ✓,Отсканировано ✓,,
devriye,devriyeOkutulduGonderiliyor,,Okutuldu ✓ — gönderiliyor (kuyrukta),Отсканировано ✓ — отправляется (в очереди),,
devriye,devriyeOkutulduZamanli,,Okutuldu ✓ · {saat},Отсканировано ✓ · {saat},,
devriye,devriyeOzetToplam,,Toplam,Всего,,
devriye,devriyePasif,,Pasif,Неактивен,,
devriye,devriyePencere,"baslangic,bitis",Pencere: {baslangic} – {bitis},Окно: {baslangic} – {bitis},,
devriye,devriyePencereSuresiDoldu,,Pencere süresi doldu.,Время окна истекло.,,
devriye,devriyePlanAdi,,Plan adı,Название плана,,
devriye,devriyePlanAdiIpucu,,örn. Gece devriyesi,напр. Ночной обход,,
devriye,devriyePlanAralik,"baslangic,bitis,dakika",{baslangic}–{bitis} · her {dakika} dk,{baslangic}–{bitis} · каждые {dakika} мин,,
devriye,devriyePlanDuzenleBaslik,,Devriye planı düzenle,Изменить план обхода,,
devriye,devriyePlanEkle,,Plan ekle,Добавить план,,
devriye,devriyePlanSilOnay,,"""{ad}"" devriye planı silinecek.",План обхода «{ad}» будет удалён.,,
devriye,devriyePlanSilindi,,Plan silindi ✓,План удалён ✓,,
devriye,devriyePlanSilinsinMi,,Plan silinsin mi?,Удалить план?,,
devriye,devriyePlanYeniBaslik,,Yeni devriye planı,Новый план обхода,,
devriye,devriyePlanYokBos,,"Henüz devriye planı yok.
Sağ alttan ekleyin (saatler + noktalar).","Планов обходов пока нет.
Добавьте план справа снизу (часы + точки).",,
devriye,devriyePlanlarListelenemedi,,Planlar listelenemedi.,Не удалось получить список планов.,,
devriye,devriyePlanlariBaslik,,Devriye Planları,Планы обходов,,
devriye,devriyeSonGuncelleme,,Son güncelleme: {saat} (otomatik yenileme: 60 sn),Последнее обновление: {saat} (автообновление: 60 с),,
devriye,devriyeSunucudaOkutma,n,Sunucuda {n} okutma kayıtlı (diğer cihazların okutmaları dahil olabilir).,"{n, plural, one{На сервере записано {n} сканирование (могут быть включены сканирования других устройств).} few{На сервере записано {n} сканирования (могут быть включены сканирования других устройств).} many{На сервере записано {n} сканирований (могут быть включены сканирования других устройств).} other{На сервере записано {n} сканирований (могут быть включены сканирования других устройств).}}",,
devriye,devriyeTakibiBaslik,,Devriye takibi,Отслеживание обходов,,
devriye,devriyeTakibiYetkiYok,,Devriye takibi için yetkiniz yok. Bu ekran yönetici ve güvenlik rollerine açıktır.,У вас нет прав на отслеживание обходов. Этот экран доступен ролям управляющего и охраны.,,
devriye,devriyeTaramaGunluguAlinamadi,,Tarama günlüğü alınamadı.,Не удалось получить журнал сканирований.,,
devriye,devriyeTumNoktalarOkutuldu,,Tüm noktalar okutuldu — tur tamamlanıyor. ✓,Все точки отсканированы — обход завершается. ✓,,
devriye,devriyeTumunuKaldir,,Tümünü kaldır,Снять все,,
devriye,devriyeTumunuSec,,Tümünü seç,Выбрать все,,
devriye,devriyeTurSikligi,,Tur sıklığı (dakika),Частота обхода (минуты),,
devriye,devriyeTurSikligiPozitif,,Tur sıklığı (dk) pozitif olmalı.,Частота обхода (мин) должна быть положительной.,,
devriye,devriyeTurSikligiYardim,,örn. 60 = saatte bir tur,напр. 60 = один обход в час,,
devriye,devriyeTuru,,Devriye turu,Обход,,
devriye,devriyeUidEtiket,,UID: {uid},UID: {uid},,
devriye,devriyeYetkiYok,,Bu ekrandaki veriler için yetkiniz yok. Tur takibi güvenlik (ve yönetici) rolüne açıktır.,У вас нет прав на данные этого экрана. Отслеживание обходов доступно роли охраны (и управляющего).,,
dil,dilSecBaslik,,Uygulama dili,Язык приложения,,
dis,disAd,,Ad,Имя,,
dis,disAdGerekli,,Ad gerekli,Имя обязательно,,
dis,disAra,,Ara,Позвонить,,
dis,disBolumNotu,,Bölüm notu,Примечание к разделу,,
dis,disKayitYok,,Henüz dış hizmet kaydı yok.,Записей о внешних услугах пока нет.,,
dis,disKayitYokYonetim,,Henüz kayıt yok. Sağ alttan güvendiğiniz esnafı ekleyin.,"Записей пока нет. Добавьте мастера, которому доверяете, кнопкой справа снизу.",,
dis,disKisiDuzenle,,Kişi düzenle,Изменить контакт,,
dis,disKisiEkle,,Kişi ekle,Добавить контакт,,
dis,disListeAlinamadi,,Liste alınamadı.,Не удалось загрузить список.,,
dis,disNotEkleyin,,Not ekleyin (yalnızca yönetici düzenler).,Добавьте примечание (изменять может только управление).,,
dis,disNotGuncellendi,,Not güncellendi ✓,Примечание обновлено ✓,,
dis,disNotIpucu,,örn. Yıllardır güvendiğimiz esnaflar; site güvenliği için yabancı kişileri içeri almayın.,"напр. Мастера, которым мы доверяем годами; ради безопасности объекта не впускайте посторонних.",,
dis,disNotuDuzenle,,Notu düzenle,Изменить примечание,,
dis,disSilGovde,,"""{ad}"" silinecek.","""{ad}"" будет удалён.",,
dis,disSilOnay,,Kayıt silinsin mi?,Удалить запись?,,
dis,disSilindi,,Silindi ✓,Удалено ✓,,
dis,disSoyad,,Soyad,Фамилия,,
dis,disSoyadGerekli,,Soyad gerekli,Фамилия обязательна,,
dis,disTur,,Hizmet türü,Вид услуги,,
dis,disTurIpucu,,"örn. Çilingir, Elektrik, Tesisat","напр. Слесарь, Электрика, Сантехника",,
dis,disTurZorunlu,,Tür zorunludur,Вид услуги обязателен,,
dis,disYeniKisi,,Yeni dış hizmet kişisi,Новый внешний контакт,,
duyuru,duyuruBaslikZorunlu,,Başlık zorunludur,Заголовок обязателен,,
duyuru,duyuruDuzenleBaslik,,Duyuru düzenle,Изменить объявление,,
duyuru,duyuruDuzenlendiEki,, · düzenlendi, · изменено,,
duyuru,duyuruGuncellendi,,Duyuru güncellendi ✓,Объявление обновлено ✓,,
duyuru,duyuruMeta,"ad,zaman,duzenlendi",{ad} · {zaman}{duzenlendi},{ad} · {zaman}{duzenlendi},,
duyuru,duyuruMetniAlan,,Duyuru metni,Текст объявления,,
duyuru,duyuruMetniZorunlu,,Duyuru metni zorunludur,Текст объявления обязателен,,
duyuru,duyuruSilOnay,,Duyuru silinsin mi?,Удалить объявление?,,
duyuru,duyuruSilindi,,Duyuru silindi ✓,Объявление удалено ✓,,
duyuru,duyuruYayinla,,Yayınla,Опубликовать,,
duyuru,duyuruYayinlandi,,Duyuru yayınlandı ✓,Объявление опубликовано ✓,,
duyuru,duyuruYeni,,Yeni duyuru,Новое объявление,,
duyuru,duyuruYok,,Henüz duyuru yok.,Объявлений пока нет.,,
duyuru,duyuruYonetim,,Yönetim,Управление,,
enteg,entegAktifKisa,,aktif,активна,,
enteg,entegBasarisiz,,Başarısız,Ошибка,,
enteg,entegDuzenleBaslik,,Entegrasyon düzenle,Изменить интеграцию,,
enteg,entegHttpMetodu,,HTTP metodu,HTTP-метод,,
enteg,entegKanalTipi,,Kanal tipi,Тип канала,,
enteg,entegKimlikDogrulama,,Kimlik doğrulama,Аутентификация,,
enteg,entegKimlikSatir,"tip,kilit",Kimlik: {tip}{kilit},Аутентификация: {tip}{kilit},,
enteg,entegPasifKisa,,pasif,неактивна,,
enteg,entegPayload,,Payload şablonu,Шаблон payload,,
enteg,entegPayloadHelper,,{sablonlar} yer tutucuları,Заменители {sablonlar},,
enteg,entegPreset,,Hazır şablon (preset),Готовый шаблон (preset),,
enteg,entegSilGovde,,"""{ad}"" entegrasyonu silinecek.","Интеграция ""{ad}"" будет удалена.",,
enteg,entegSilOnay,,Silinsin mi?,Удалить?,,
enteg,entegSilinemedi,,Silinemedi: {hata},Не удалось удалить: {hata},,
enteg,entegSir,,Sır (bearer token / API key),Секрет (bearer token / API key),,
enteg,entegSirKayitli,,Kayıtlı — değiştirmek için yeni değer girin,"Сохранён — введите новое значение, чтобы изменить",,
enteg,entegSirYazmaOzel,,Yazma-özel; sunucudan asla dönmez,Только запись; сервер его никогда не возвращает,,
enteg,entegTest,,Test,Тест,,
enteg,entegTestBasarili,,✓ Başarılı ({durum}),✓ Успешно ({durum}),,
enteg,entegTestBasarisiz,"hata,durum",✗ {hata}{durum},✗ {hata}{durum},,
enteg,entegTestMesaji,,Test mesajı,Тестовое сообщение,,
enteg,entegUrl,,Endpoint URL (http/https),URL эндпоинта (http/https),,
enteg,entegUrlHata,,http(s) ile başlamalı,Должен начинаться с http(s),,
enteg,entegUrlHelper,,İç/özel adresler tetikte engellenir,Внутренние/частные адреса блокируются при вызове,,
enteg,entegYeni,,Yeni,Новая,,
enteg,entegYeniBaslik,,Yeni entegrasyon,Новая интеграция,,
enteg,entegYokMesaj,,"Entegrasyon yok. ""Yeni"" ile bir dış sistem (megafon/akıllı ev/webhook) ekleyin.",Интеграций нет. Добавьте внешнюю систему (громкая связь/умный дом/webhook) кнопкой «Новая».,,
etiket,etiketAylikOzet,,Aylık Özet,Сводка за месяц,,
etiket,etiketDevriye,,Devriye,Обход,,
etiket,etiketIletisim,,İletişim,Контакты,,
etiket,etiketKurallar,,Kurallar,Правила,,
etk,etkAciklamaAlan,,Açıklama *,Описание *,,
etk,etkAciklamaGerekli,,Açıklama gerekli,Описание обязательно,,
etk,etkBaslikAlan,,Başlık * (örn. Maç izleme akşamı),Заголовок * (напр. Вечер просмотра матча),,
etk,etkBaslikGerekli,,Başlık gerekli,Заголовок обязателен,,
etk,etkBeyanGonderilemedi,,Beyan gönderilemedi. Tekrar deneyin.,Не удалось отправить ответ. Попробуйте снова.,,
etk,etkBeyanKaydedildi,,Beyanınız kaydedildi: {durum} ✓,Ваш ответ сохранён: {durum} ✓,,
etk,etkBitis,,Bitiş: {zaman},Окончание: {zaman},,
etk,etkBitisEkle,,Bitiş ekle (opsiyonel),Добавить окончание (необязательно),,
etk,etkBitisSonra,,"Bitiş, başlangıçtan sonra olmalı",Окончание должно быть позже начала,,
etk,etkBitisiKaldir,,Bitişi kaldır,Убрать окончание,,
etk,etkDuyurVeBildir,,Duyur ve sakinlere bildir,Объявить и уведомить жителей,,
etk,etkDuyuran,,Duyuran: {ad},Объявил: {ad},,
etk,etkDuyuruldu,,Etkinlik duyuruldu — sakinlere bildirildi ✓,Событие объявлено — жителям отправлено уведомление ✓,,
etk,etkDuzenleBaslik,,Etkinliği düzenle,Изменить событие,,
etk,etkGecmisYok,,Geçmiş etkinlik yok.,Прошедших событий нет.,,
etk,etkGorselAlan,,Görsel (opsiyonel),Изображение (необязательно),,
etk,etkGuncellendi,,Etkinlik güncellendi ✓,Событие обновлено ✓,,
etk,etkKatiliminiz,,Katılımınız: {durum},Ваш ответ: {durum},,
etk,etkKatiliyorSayisi,n,{n} katılıyor,"{n, plural, one{{n} придёт} few{{n} придут} many{{n} придут} other{{n} придут}}",,
etk,etkKatiliyorum,,Katılıyorum,Приду,,
etk,etkKatilmiyorSayisi,n,{n} katılmıyor,"{n, plural, one{{n} не придёт} few{{n} не придут} many{{n} не придут} other{{n} не придут}}",,
etk,etkKatilmiyorum,,Katılmıyorum,Не приду,,
etk,etkKaydedilemedi,,Kaydedilemedi. Tekrar deneyin.,Не удалось сохранить. Попробуйте снова.,,
etk,etkSekmeGecmis,,Geçmiş ({n}),Прошедшие ({n}),,
etk,etkSekmeYaklasan,,Yaklaşan ({n}),Предстоящие ({n}),,
etk,etkSilOnay,,"""{baslik}"" ve tüm katılım beyanları silinecek.",«{baslik}» и все ответы будут удалены.,,
etk,etkSilindi,,Etkinlik silindi ✓,Событие удалено ✓,,
etk,etkSilinsinMi,,Etkinlik silinsin mi?,Удалить событие?,,
etk,etkYaklasanYok,,Yaklaşan etkinlik yok.,Предстоящих событий нет.,,
etk,etkYaklasanYokYonetim,,"Yaklaşan etkinlik yok. ""Yeni etkinlik"" ile duyurun.",Предстоящих событий нет. Объявите через «Новое событие».,,
etk,etkYeni,,Yeni etkinlik,Новое событие,,
etk,etkYer,,Yer: {konum},Место: {konum},,
etk,etkYerAlan,,Yer (opsiyonel),Место (необязательно),,
etk,etkZaman,,Zaman: {aralik},Время: {aralik},,
etk,etkZamanSecim,,Zaman: {zaman},Время: {zaman},,
fab,fabDestekTalebi,,Destek Talebi,Обращение в поддержку,,
fab,fabDuyuruYayinla,,Duyuru Yayınla,Опубликовать объявление,,
fab,fabGorevOlustur,,Görev Oluştur,Создать задачу,,
fab,fabOlayBildir,,Olay Bildir,Сообщить о событии,,
fab,fabRezervasyonYap,,Rezervasyon Yap,Забронировать,,
fab,fabTalepArizaBildir,,Talep / Arıza Bildir,Заявка или неисправность,,
fab,fabTalepBildir,,Talep / Bildir,Заявка / сообщение,,
giris,girisBeniHatirla,,Beni hatırla,Запомнить меня,,
giris,girisIlkKodIpucu,,İlk girişte yönetimden aldığınız geçici kodu yazın.,"При первом входе введите временный код, полученный от управления.",,
giris,girisOturumSonaErdi,,Oturumunuz sona erdi. Lütfen tekrar giriş yapın.,"Сеанс истёк. Пожалуйста, войдите снова.",,
giris,girisParolaVeyaKod,,Parola veya geçici kod,Пароль или временный код,,
giris,girisYap,,Giriş yap,Войти,,
gorev,gorevAciklamaOpsiyonel,,Açıklama (opsiyonel),Описание (необязательно),,
gorev,gorevAdi,,Görev adı,Название задачи,,
gorev,gorevAdiZorunlu,,Görev adı zorunludur,Название задачи обязательно,,
gorev,gorevAdim1Etiket,,1. Etiketi okutun,1. Отсканируйте метку,,
gorev,gorevAdim2Foto,,2. Foto kanıtı,2. Фотоподтверждение,,
gorev,gorevAdim2FotoOpsiyonel,,2. Foto kanıtı (isteğe bağlı),2. Фотоподтверждение (необязательно),,
gorev,gorevAdim3Not,,3. Not (isteğe bağlı),3. Примечание (необязательно),,
gorev,gorevAtananListedeDegil,,Atanan kullanıcı (listede değil),Исполнитель (нет в списке),,
gorev,gorevAtananPersonel,,Atanan personel,Назначенный сотрудник,,
gorev,gorevAtanmamisHavuz,,— atanmamış (havuz görevi) —,— не назначено (общая задача) —,,
gorev,gorevBagliTalep,,Bağlı talep,Связанная заявка,,
gorev,gorevBuFiltredeYok,,Bu filtreyle aktif görev yok.,С этим фильтром активных задач нет.,,
gorev,gorevCipBanaAtanan,,Bana atanan,Назначено мне,,
gorev,gorevCipTumGorevler,,Tüm görevler,Все задачи,,
gorev,gorevCipTumu,,Tümü,Все,,
gorev,gorevDaireEtiket,,Daire {daire},Квартира {daire},,
gorev,gorevDuzenleBaslik,,Görev düzenle,Изменить задачу,,
gorev,gorevEtiketBekleniyor,,Etiket bekleniyor...,Ожидание метки...,,
gorev,gorevEtiketOkunamadi,,Etiket okunamadı.,Не удалось считать метку.,,
gorev,gorevEtiketiOkut,,Etiketi okut,Считать метку,,
gorev,gorevFotoAlinamadi,,Fotoğraf alınamadı: {hata},Не удалось получить фото: {hata},,
gorev,gorevFotoHenuzYuklenmedi,,"Fotoğraf henüz yüklenmedi. Yüklemenin bitmesini bekleyin, ""Tekrar yükle""yi deneyin veya fotoyu kaldırın.","Фото ещё не загружено. Дождитесь окончания загрузки, попробуйте «Загрузить снова» или удалите фото.",,
gorev,gorevFotoKanitiVar,,foto kanıtı var,есть фотоподтверждение,,
gorev,gorevFotoKanitiZorunlu,,Foto kanıtı zorunlu,Требуется фотоподтверждение,,
gorev,gorevFotoKanitiZorunluAlt,,Tamamlama foto olmadan kabul edilmez,Выполнение без фото не принимается,,
gorev,gorevFotoOnlineGerekli,,"Fotoğraf yüklemek için internet bağlantısı gerekli (yükleme adresi kısa ömürlü). Bağlantı gelince ""Tekrar yükle"" ile deneyin.",Для загрузки фото нужно интернет-соединение (адрес загрузки кратковременный). При появлении связи нажмите «Загрузить снова».,,
gorev,gorevFotoOnlineGerekliKisa,,Fotoğraf yüklemek için internet bağlantısı gerekli.,Для загрузки фото нужно интернет-соединение.,,
gorev,gorevFotoZorunlu,,Foto zorunlu,Требуется фото,,
gorev,gorevFotoZorunluUyari,,Bu görev için FOTO KANITI ZORUNLU. Tamamlamadan önce fotoğraf çekip yükleyin.,Для этой задачи ОБЯЗАТЕЛЬНО фотоподтверждение. Сделайте и загрузите фото перед завершением.,,
gorev,gorevGaleridenSec,,Galeriden seç,Выбрать из галереи,,
gorev,gorevGonderiliyor,,Gönderiliyor...,Отправка...,,
gorev,gorevGuncellendi,,Görev güncellendi ✓,Задача обновлена ✓,,
gorev,gorevIslemleriTooltip,,Görev işlemleri,Действия с задачей,,
gorev,gorevKaldir,,Kaldır,Удалить,,
gorev,gorevKamera,,Kamera,Камера,,
gorev,gorevKategoriAdi,,Kategori adı,Название категории,,
gorev,gorevKategoriAdiIpucu,,örn. Havuz bakımı,напр. Обслуживание бассейна,,
gorev,gorevKategoriDiger,,Diğer,Другое,,
gorev,gorevKategoriEklendi,,"""{ad}"" eklendi",«{ad}» добавлена,,
gorev,gorevKategoriEklenemedi,,Eklenemedi: {hata},Не удалось добавить: {hata},,
gorev,gorevKategoriListeAlinamadi,,Liste alınamadı: {hata},Не удалось получить список: {hata},,
gorev,gorevKategoriSilOnay,,"""{ad}"" pasifleştirilir; mevcut görevlerin geçmişi korunur, yeni görevlerde seçilemez.","«{ad}» будет деактивирована; история существующих задач сохраняется, но выбрать её для новых задач нельзя.",,
gorev,gorevKategoriSilindi,,"""{ad}"" silindi",«{ad}» удалена,,
gorev,gorevKategoriSilinemedi,,Silinemedi: {hata},Не удалось удалить: {hata},,
gorev,gorevKategoriSilinmis,,Kategori (silinmiş),Категория (удалена),,
gorev,gorevKategoriSilinsinMi,,Kategori silinsin mi?,Удалить категорию?,,
gorev,gorevKategoriYeni,,Yeni kategori,Новая категория,,
gorev,gorevKategoriYokBos,,"Henüz kategori yok. Görev oluştururken seçilebilmesi için ""Yeni kategori"" ile ekleyin.","Категорий пока нет. Добавьте её через «Новая категория», чтобы её можно было выбрать при создании задачи.",,
gorev,gorevKategorilerTooltip,,Kategoriler,Категории,,
gorev,gorevKategorileriBaslik,,Görev kategorileri,Категории задач,,
gorev,gorevKontrolNoktasiOpsiyonel,,Kontrol noktası (NFC) — opsiyonel,Контрольная точка (NFC) — необязательно,,
gorev,gorevKontrolNoktasiYardim,,Bağlanırsa görev NFC okutularak tamamlanır,"Если привязано, задача завершается сканированием NFC",,
gorev,gorevListesiYetkiYok,,Görev listesi için yetkiniz yok. Bu ekran temizlik ve güvenlik rollerine açıktır.,У вас нет прав на просмотр списка задач. Этот экран доступен ролям уборки и охраны.,,
gorev,gorevNfcAciklama,,Bu görev NFC doğrulamalı: tamamlamadan önce görev noktasındaki etiketi okutun.,Эта задача с NFC-подтверждением: перед завершением отсканируйте метку в точке задачи.,,
gorev,gorevNfcDogrulandi,,NFC doğrulandı,NFC подтверждён,,
gorev,gorevNfcYok,,— NFC yok —,— без NFC —,,
gorev,gorevNotIpucu,,Örn. çöp konteynerleri boşaltıldı,Напр. мусорные контейнеры опорожнены,,
gorev,gorevOkundu,,Okundu: {uid},Считано: {uid},,
gorev,gorevOlusturuldu,,Görev oluşturuldu ✓,Задача создана ✓,,
gorev,gorevOncelik,,Öncelik,Приоритет,,
gorev,gorevOncelikDusuk,,Düşük,Низкий,,
gorev,gorevOncelikOrta,,Orta,Средний,,
gorev,gorevOncelikYuksek,,Yüksek,Высокий,,
gorev,gorevPasifAciklama,,Pasif görev listede görünmez,Неактивная задача не отображается в списке,,
gorev,gorevPeriyotDakika,,Periyot dakika (opsiyonel),Период в минутах (необязательно),,
gorev,gorevPeriyotYardim,,Periyodik görevler için; boş = tek seferlik,Для повторяющихся задач; пусто = однократно,,
gorev,gorevPersonelAlinamadi,,Personel listesi alınamadı: {hata},Не удалось получить список сотрудников: {hata},,
gorev,gorevPersonelYukleniyor,,Personel listesi yükleniyor...,Загрузка списка сотрудников...,,
gorev,gorevPlanlanan,,Planlanan: {zaman},Запланировано: {zaman},,
gorev,gorevPozitifSayi,,Pozitif tam sayı girin,Введите положительное целое число,,
gorev,gorevSanaAtanmis,,Sana atanmış,Назначено вам,,
gorev,gorevSilindi,,Görev silindi ✓,Задача удалена ✓,,
gorev,gorevSilinsinMi,,Görev silinsin mi?,Удалить задачу?,,
gorev,gorevTakipGorunumu,,Takip görünümü,Режим наблюдения,,
gorev,gorevTakipGorunumuAlt,,Tamamlama saha personeli tarafından yapılır (güvenlik / tesis görevlisi). Bu ekran izleme içindir.,Выполнение производится сотрудниками на месте (охрана / техник). Этот экран — для наблюдения.,,
gorev,gorevTaleptenGeldi,,Talepten geldi,Из заявки,,
gorev,gorevTamamla,,Tamamla,Завершить,,
gorev,gorevTamamlamaOfflineUyari,,"Tamamlama gönderilemedi — internet bağlantısı gerekli. Bağlantı gelince tekrar ""Tamamla""ya basın; aynı kayıt çift oluşmaz (Idempotency-Key sabit). Fotoğraflı tamamlama offline desteklenmez (bilinen kısıt).",Не удалось отправить выполнение — нужно интернет-соединение. При появлении связи снова нажмите «Завершить»; та же запись не продублируется (Idempotency-Key фиксирован). Выполнение с фото офлайн не поддерживается (известное ограничение).,,
gorev,gorevTamamlandiBuOturumda,,Tamamlandı ✓ (bu oturumda),Выполнено ✓ (в этом сеансе),,
gorev,gorevTamamlandiKayit,,Görev tamamlandı — kayıt oluşturuldu.,Задача выполнена — запись создана.,,
gorev,gorevTamamlandiZatenKayitli,,Tamamlandı ✓ (zaten kayıtlıydı),Выполнено ✓ (уже было записано),,
gorev,gorevTekrarYukle,,Tekrar yükle,Загрузить снова,,
gorev,gorevTipi,,Görev tipi,Тип задачи,,
gorev,gorevTipiYokUyari,,"Henüz görev tipi tanımlamadınız. Üstteki ""Kategoriler"" ekranından kendi tiplerinizi ekleyebilirsiniz; şimdilik ""Diğer"" kullanılır.",Вы ещё не задали типы задач. Свои типы можно добавить на экране «Категории» выше; пока используется «Другое».,,
gorev,gorevTipleriYukleniyor,,Görev tipleri yükleniyor...,Загрузка типов задач...,,
gorev,gorevYeni,,Yeni görev,Новая задача,,
gorev,gorevYeniTamamlamaBaslat,,Yeni tamamlama başlat,Начать новое выполнение,,
gorev,gorevYenidenCek,,Yeniden çek,Снять заново,,
gorev,gorevYenidenOkut,,Yeniden okut,Считать снова,,
gorev,gorevYuklendi,,Yüklendi ✓,Загружено ✓,,
gorev,gorevYukleniyorNokta,,Yükleniyor...,Загрузка...,,
gorev,gorevZaman,,Zaman: {zaman},Время: {zaman},,
gorev,gorevZatenKayitliydi,,Bu tamamlama zaten kayıtlıydı (tekrar gönderim — çift kayıt oluşmadı).,Это выполнение уже было записано (повторная отправка — дубликат не создан).,,
gun,gunTipiHaftaIci,,Hafta içi,По будням,,
gun,gunTipiHaftaSonu,,Hafta sonu,По выходным,,
gun,gunTipiHerGun,,Her gün,Каждый день,,
gun,gunTipiResmiTatil,,Resmî tatil,Государственные праздники,,
hata,hataSunucuyaUlasilamadi,,Sunucuya ulaşılamadı. Ağ bağlantınızı ve sunucu adresini kontrol edin.,Не удалось связаться с сервером. Проверьте подключение к сети и адрес сервера.,,
hata,hataZamanAsimi,,Sunucuya bağlanırken zaman aşımı oluştu.,Истекло время ожидания подключения к серверу.,,
ihlal,ihlalAciklamaAlani,,Açıklama (isteğe bağlı),Описание (необязательно),,
ihlal,ihlalAcildi,,İhlal kaydı açıldı,Запись о нарушении создана,,
ihlal,ihlalBaslikAlani,,Başlık,Заголовок,,
ihlal,ihlalBaslikZorunlu,,Başlık zorunlu,Заголовок обязателен,,
ihlal,ihlalDurumGuncellendi,,İhlal durumu güncellendi,Статус нарушения обновлён,,
ihlal,ihlalDurumInceleniyor,,İnceleniyor,На рассмотрении,,
ihlal,ihlalDurumKapatildi,,Kapatıldı,Закрыто,,
ihlal,ihlalDurumYeni,,Yeni,Новое,,
ihlal,ihlalErisimYok,,İhlal kayıtları yalnız yönetim ve güvenlik içindir,Записи о нарушениях доступны только администрации и охране,,
ihlal,ihlalIncelemeyeAl,,İncelemeye al,Взять на рассмотрение,,
ihlal,ihlalKapaliDegistirilemez,,Kapatılmış ihlal yeniden açılamaz,Закрытое нарушение нельзя открыть снова,,
ihlal,ihlalKapat,,Kaydı kapat,Закрыть запись,,
ihlal,ihlalKapatmaOnay,,Kayıt kapatılsın mı? Kapatılan ihlal yeniden açılamaz.,Закрыть запись? Закрытое нарушение нельзя открыть снова.,,
ihlal,ihlalKaydeden,ad,Açan: {ad},Открыл: {ad},,
ihlal,ihlalKaynakAlani,,Tespit kaynağı,Источник обнаружения,,
ihlal,ihlalKaynakDevriye,,Devriye,Обход,,
ihlal,ihlalKaynakKamera,,Kamera,Камера,,
ihlal,ihlalKaynakManuel,,Manuel,Вручную,,
ihlal,ihlalKonumAlani,,Konum (isteğe bağlı),Место (необязательно),,
ihlal,ihlalListeBos,,İhlal kaydı yok,Нет записей о нарушениях,,
ihlal,ihlalYeni,,Yeni ihlal,Новое нарушение,,
izin,izinAtlandiEki,, ({n} zaten açık), ({n} уже открыто),,
izin,izinBaslik,,Görüntüleme izni,Разрешение на просмотр,,
izin,izinDaireEki,, — {daire}, — {daire},,
izin,izinDaireIstegi,,Daire görüntüleme isteği{daire},Запрос на просмотр квартиры{daire},,
izin,izinDaireNo,,Daire no (örn. A-12),Номер квартиры (напр. A-12),,
izin,izinDurumEtiket,,Durum: {durum},Статус: {durum},,
izin,izinDurumOnaylandi,,Onaylandı,Одобрено,,
izin,izinGonderilemedi,,Gönderilemedi: {hata},Не удалось отправить: {hata},,
izin,izinGoruntulenebilirDaireler,,Görüntülenebilir daireler ({n}),Доступные квартиры ({n}),,
izin,izinHedef,,Hedef: {ad},Получатель: {ad},,
izin,izinIsteBaslik,,Görüntüleme izni iste,Запросить разрешение на просмотр,,
izin,izinIstekGonder,,İstek gönder,Отправить запрос,,
izin,izinIstekGonderildi,,İstek gönderildi — sakinin onayı bekleniyor,Запрос отправлен — ожидается согласие жителя,,
izin,izinIstekYokSakin,,Dairenize gelen görüntüleme isteği yok.,Для вашей квартиры запросов нет.,,
izin,izinIstekYokYonetim,,"Henüz izin isteğiniz yok. ""Yeni istek"" ile bir daire, üstteki ""Tüm daireler"" ile tümü için izin isteyin.","У вас пока нет запросов. Через «Новый запрос» — для одной квартиры, через «Все квартиры» выше — для всех.",,
izin,izinIsteyen,,İsteyen: {ad},Запросил: {ad},,
izin,izinKargolar,,Kargolar,Посылки,,
izin,izinKaydeden,,Kaydeden: {ad},Записал: {ad},,
izin,izinKayitBaslik,"baslik,daire",{baslik}{daire},{baslik}{daire},,
izin,izinKayitYok,,Bu dairede kayıt yok.,По этой квартире записей нет.,,
izin,izinKullanildi,,Kullanıldı,Использовано,,
izin,izinKullanildiUyari,,İzin kullanıldı (tek seferlik). Tekrar görmek için yeni istek açın.,"Разрешение использовано (однократное). Чтобы посмотреть снова, создайте новый запрос.",,
izin,izinOnayla,,Onayla,Одобрить,,
izin,izinOnayli,,Onaylı,Одобрено,,
izin,izinSuresiDoldu,,İzin kullanıldı veya süresi doldu (tek seferlik). Tekrar görüntülemek için yeni bir izin isteği açın.,"Разрешение использовано или истекло (однократное). Создайте новый запрос, чтобы посмотреть снова.",,
izin,izinTekSeferlikUyari,,Tek seferlik izinle görüntüleniyor — yenilemede erişim kapanır.,Просмотр по однократному разрешению — при обновлении доступ закроется.,,
izin,izinTopluGonderildi,"n,atlandi",{n} daire için istek gönderildi{atlandi} — sakin onayları bekleniyor,Запросы отправлены по {n} квартирам{atlandi} — ожидаются согласия жителей,,
